Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPPerGame,PTSPerGame,TRBPerGame,ASTPerGame,STLPerGame,BLKPerGame,year
Bobby Portis,25,6,100,17,40,7,16,5,5,10,14,24,1,4,2,1,9,46,.425,.438,1.000,16.7,7.7,4.0,0.2,0.7,0.3,2021
P.J. Tucker,35,6,188,10,20,4,8,0,0,12,11,23,7,6,0,3,21,24,.500,.500,,31.3,4.0,3.8,1.2,1.0,0.0,2021
Bryn Forbes,27,3,22,3,10,3,9,0,0,0,1,1,0,1,0,1,2,9,.300,.333,,7.3,3.0,0.3,0.0,0.3,0.0,2021
Jeff Teague,32,6,56,2,10,1,3,4,6,2,3,5,4,3,0,3,2,9,.200,.333,.667,9.3,1.5,0.8,0.7,0.5,0.0,2021
Jordan Nwora,22,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,1.000,1.000,,1.0,3.0,1.0,0.0,0.0,0.0,2021
Thanasis Antetokounmpo,28,1,2,0,2,0,0,0,0,1,2,3,0,0,0,0,1,0,.000,,,2.0,0.0,3.0,0.0,0.0,0.0,2021
Elijah Bryant,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2021
Sam Merrill,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2021
Team Totals,,6,1441,251,537,66,187,102,140,79,199,278,138,48,21,65,105,670,.467,.353,.729,240.2,111.7,46.3,23.0,8.0,3.5,2021
Tyler Herro,20,6,208,32,87,11,30,13,16,1,24,25,18,3,0,14,7,88,.368,.367,.813,34.7,14.7,4.2,3.0,0.5,0.0,2020
Duncan Robinson,25,6,192,21,52,18,46,15,15,1,15,16,15,5,2,4,21,75,.404,.391,1.000,32.0,12.5,2.7,2.5,0.8,0.3,2020
Jae Crowder,29,6,189,23,55,13,39,8,10,4,27,31,7,2,3,4,22,67,.418,.333,.800,31.5,11.2,5.2,1.2,0.3,0.5,2020
Kendrick Nunn,24,6,135,24,51,9,23,6,6,3,18,21,11,0,1,8,10,63,.471,.391,1.000,22.5,10.5,3.5,1.8,0.0,0.2,2020
Bam Adebayo,22,4,135,23,43,0,0,15,24,6,19,25,10,1,3,8,11,61,.535,,.625,33.8,15.3,6.3,2.5,0.3,0.8,2020
Kelly Olynyk,28,5,114,20,41,7,17,11,13,4,26,30,7,2,3,4,15,58,.488,.412,.846,22.8,11.6,6.0,1.4,0.4,0.6,2020
Andre Iguodala,36,6,118,8,19,3,8,0,0,4,12,16,12,2,2,3,16,19,.421,.375,,19.7,3.2,2.7,2.0,0.3,0.3,2020
Meyers Leonard,27,2,22,5,6,2,2,2,2,0,1,1,1,1,0,0,3,14,.833,1.000,1.000,11.0,7.0,0.5,0.5,0.5,0.0,2020
Solomon Hill,28,4,25,5,9,2,6,0,0,0,3,3,1,1,0,0,3,12,.556,.333,,6.3,3.0,0.8,0.3,0.3,0.0,2020
Goran Dragić,33,2,34,5,16,0,5,1,2,1,5,6,5,3,0,2,3,11,.313,.000,.500,17.0,5.5,3.0,2.5,1.5,0.0,2020
Derrick Jones Jr.,22,4,10,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2,.500,,,2.5,0.5,0.3,0.0,0.0,0.0,2020
