Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
P.J. Tucker,35,6,6,188,.600,.600,6.5,6.8,6.7,4.7,1.6,0.0,13.0,5.3,130,117,4.2,2021
Bryn Forbes,27,3,0,22,.450,.450,0.0,5.0,2.4,0.0,2.3,0.0,9.1,22.1,83,120,0.9,2021
Jeff Teague,32,6,0,56,.356,.250,4.3,6.5,5.2,8.4,2.8,0.0,19.2,12.3,81,117,1.1,2021
Jordan Nwora,22,1,0,1,1.500,1.500,0.0,92.3,44.5,0.0,0.0,0.0,0.0,33.4,300,98,3.0,2021
Thanasis Antetokounmpo,28,1,0,2,.000,.000,72.0,100.0,100.0,0.0,0.0,0.0,0.0,56.1,45,87,-0.5,2021
Elijah Bryant,25,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,139,0.0,2021
Sam Merrill,24,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112,0.0,2021
Team Totals,28.7,6,,1440,.560,.529,29.2,82.6,54.3,55.0,8.4,6.2,9.8,,117.0,114.5,,2021
Tyler Herro,20,6,5,208,.468,.431,0.6,12.8,7.0,14.5,0.7,0.0,13.0,24.8,88,121,7.6,2020
Duncan Robinson,25,6,6,192,.640,.577,0.7,9.1,4.9,12.3,1.3,1.3,6.4,15.4,124,118,9.5,2020
Jae Crowder,29,6,6,189,.564,.536,2.6,15.7,9.7,5.9,0.6,1.7,6.3,15.8,107,118,7.3,2020
Kendrick Nunn,24,6,0,135,.587,.559,2.7,15.2,9.0,14.5,0.0,0.7,13.0,21.7,105,122,6.8,2020
Bam Adebayo,22,4,4,135,.569,.535,5.0,16.1,10.6,13.6,0.4,2.1,13.0,21.5,108,118,11.0,2020
Kelly Olynyk,28,5,0,114,.621,.573,4.2,24.9,15.2,9.5,0.9,2.6,7.9,21.7,116,116,9.2,2020
Andre Iguodala,36,6,0,118,.500,.500,4.0,12.2,7.9,14.2,0.9,1.8,13.6,8.8,107,121,3.0,2020
Meyers Leonard,27,2,2,22,1.017,1.000,0.0,4.9,2.7,8.6,2.2,0.0,0.0,15.4,199,119,6.3,2020
Solomon Hill,28,4,0,25,.667,.667,0.0,14.3,6.4,-52.2,2.1,0.0,0.0,16.7,124,118,2.3,2020
Goran Dragić,33,2,1,34,.326,.313,3.3,16.5,9.7,24.6,4.5,0.0,10.6,26.2,74,109,3.5,2020
Derrick Jones Jr.,22,4,0,10,.500,.500,0.0,12.2,5.4,0.0,0.0,0.0,33.3,14.2,59,124,0.1,2020
Team Totals,25.6,6,,1440,.582,.534,16.3,72.7,45.5,66.4,5.9,7.0,10.9,,112.2,118.1,,2020
Anthony Davis,26,6,6,229,.669,.612,9.6,23.1,16.3,14.9,1.8,5.2,12.5,24.8,128,108,22.8,2020
Kentavious Caldwell-Pope,26,6,6,188,.512,.471,2.4,8.7,5.3,9.9,1.6,0.5,5.1,18.8,113,114,8.4,2020
Rajon Rondo,33,6,0,156,.495,.459,4.4,20.2,11.7,29.5,2.0,0.0,16.0,17.8,110,111,8.6,2020
Kyle Kuzma,24,6,0,130,.487,.448,5.3,9.3,7.4,2.9,0.4,0.7,11.8,20.2,94,117,3.7,2020
Danny Green,32,6,6,137,.451,.439,3.2,11.1,7.1,7.1,2.3,3.3,9.1,17.8,93,110,4.8,2020
Markieff Morris,30,6,0,128,.554,.526,4.4,14.8,9.1,8.7,0.0,0.0,12.9,16.2,106,118,4.1,2020
Alex Caruso,25,6,1,149,.567,.533,5.2,6.0,5.8,12.3,1.7,0.6,19.3,12.4,111,114,5.3,2020
Dwight Howard,34,6,5,71,.767,.813,9.9,17.1,13.7,7.7,0.7,3.1,31.1,10.0,120,117,2.5,2020
Quinn Cook,26,2,0,3,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,76,110,1.0,2020
J.R. Smith,34,3,0,10,.500,.500,0.0,13.5,5.9,0.0,4.8,0.0,0.0,12.8,99,112,0.5,2020
Jared Dudley,34,3,0,3,.000,.000,0.0,0.0,0.0,0.0,0.0,31.4,0.0,15.8,0,78,0.0,2020
Team Totals,29.5,6,,1440,.582,.547,27.3,83.7,54.5,63.3,7.3,9.0,12.6,,118.1,112.2,,2020
Klay Thompson,28,5,5,188,.706,.682,2.6,11.8,7.6,12.5,1.1,0.0,6.1,23.6,129,117,19.5,2019
Draymond Green,28,6,6,248,.542,.475,4.4,26.7,15.6,34.0,2.0,2.2,30.2,17.7,101,112,13.1,2019
Andre Iguodala,35,6,6,188,.500,.510,3.0,13.7,8.4,19.8,1.6,4.4,14.1,15.1,100,115,8.5,2019
DeMarcus Cousins,28,6,3,108,.499,.450,4.6,24.4,14.8,20.1,1.9,5.0,20.6,25.9,89,108,5.5,2019
Quinn Cook,25,6,0,88,.485,.466,0.0,6.6,3.3,9.3,0.5,1.0,6.3,15.8,92,121,2.4,2019
Kevon Looney,22,5,1,104,.563,.583,8.3,10.1,9.3,9.2,1.0,0.9,16.3,13.4,104,120,4.1,2019
Shaun Livingston,33,6,1,98,.509,.417,3.5,8.0,5.7,13.6,2.1,1.1,15.4,14.8,102,118,3.7,2019
Jonas Jerebko,31,4,0,26,.444,.393,17.3,3.6,11.2,6.0,0.0,0.0,0.0,26.1,104,126,2.1,2019
Alfonzo McKinnie,26,6,0,57,.375,.406,10.2,11.4,10.3,5.0,0.0,0.0,14.8,15.6,76,124,0.2,2019
Andrew Bogut,34,5,0,45,.750,.750,9.4,30.8,19.8,11.0,1.1,2.4,20.0,9.6,127,115,2.7,2019
Kevin Durant,30,1,1,12,.935,.900,0.0,18.3,10.0,0.0,0.0,7.6,14.5,26.8,135,110,8.2,2019
Jordan Bell,24,4,1,25,.750,.750,9.0,16.4,12.4,6.4,0.0,8.7,0.0,7.0,163,121,2.0,2019
Jacob Evans,21,3,0,2,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,0,131,-0.7,2019
Damian Jones,23,1,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,131,0.0,2019
Team Totals,28.6,6,,1440,.570,.525,22.0,76.5,49.6,76.8,7.1,9.7,14.3,,110.1,116.0,,2019
Pascal Siakam,24,6,6,241,.560,.531,5.8,16.2,11.1,15.7,0.6,1.6,7.8,21.3,116,113,15.8,2019
Kyle Lowry,32,6,6,229,.549,.513,1.5,11.1,6.4,28.5,2.2,1.4,14.5,20.1,112,111,13.0,2019
Fred VanVleet,24,6,0,195,.607,.571,2.3,7.4,4.8,10.3,1.7,0.0,8.0,17.0,121,114,10.3,2019
Marc Gasol,34,6,6,173,.616,.511,3.3,27.3,15.1,13.5,0.9,1.2,10.7,16.9,124,110,10.1,2019
Serge Ibaka,29,6,0,116,.610,.580,10.9,20.5,15.5,10.1,2.1,8.1,12.6,24.6,115,104,9.3,2019
Danny Green,31,6,6,163,.537,.537,4.7,9.9,7.5,5.9,2.2,1.8,16.3,13.3,94,110,5.1,2019
Norman Powell,25,6,0,66,.396,.346,0.0,11.5,5.4,9.3,1.5,0.0,12.6,10.3,84,113,1.1,2019
Patrick McCaw,23,4,0,12,.750,.750,0.0,0.0,0.0,21.1,0.0,0.0,0.0,7.6,170,122,0.9,2019
Jeremy Lin,30,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122,0.0,2019
Jodie Meeks,31,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122,0.0,2019
Malcolm Miller,25,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122,0.0,2019
Team Totals,27.8,6,,1440,.581,.526,23.5,78.0,50.4,60.0,8.5,10.0,11.2,,116.0,110.1,,2019
Kevin Love,29,4,4,133,.535,.477,10.4,31.6,19.3,9.2,1.6,0.8,6.6,24.9,119,123,15.6,2018
J.R. Smith,32,4,4,130,.440,.427,3.1,9.3,5.7,5.7,2.0,0.0,6.5,15.5,99,126,5.4,2018
George Hill,31,4,4,117,.446,.435,4.2,4.5,4.4,11.2,1.3,0.9,15.1,14.7,94,127,3.4,2018
Rodney Hood,25,4,0,56,.477,.463,8.7,23.1,14.9,10.8,2.0,3.3,6.6,23.4,104,118,5.2,2018
Tristan Thompson,26,4,4,94,.513,.520,8.3,18.5,12.8,0.0,0.0,3.1,3.7,12.7,113,126,5.4,2018
Larry Nance Jr.,25,4,0,68,.494,.500,21.4,26.4,23.4,15.9,1.6,3.0,7.9,16.2,120,123,7.1,2018
Jeff Green,31,4,0,97,.364,.339,2.1,4.4,3.0,11.6,0.6,1.0,6.5,13.8,93,130,2.8,2018
Jordan Clarkson,25,2,0,25,.231,.231,4.0,16.8,9.2,6.1,4.2,3.9,13.3,26.1,54,118,0.2,2018
Kyle Korver,36,4,0,65,.165,.094,3.0,10.2,6.2,6.5,0.0,1.6,9.9,13.6,50,130,-1.2,2018
Ante Žižić,21,3,0,5,1.000,1.000,18.3,0.0,10.6,0.0,0.0,0.0,0.0,25.5,201,133,1.7,2018
José Calderón,36,3,0,8,.500,.500,12.7,36.4,22.5,66.9,7.3,0.0,0.0,22.9,123,111,1.9,2018
Cedi Osman,22,3,0,8,.400,.400,0.0,17.4,6.9,0.0,0.0,0.0,0.0,26.0,86,134,0.5,2018
Team Totals,30.8,4,,985,.496,.459,33.5,81.5,53.8,55.6,6.7,7.9,9.9,,108.5,124.6,,2018
Stephen Curry,29,4,4,162,.560,.522,2.5,12.8,8.4,25.5,2.0,1.5,10.1,32.3,111,109,20.1,2018
Klay Thompson,27,4,4,148,.613,.600,0.0,9.9,5.7,3.6,0.7,0.5,8.7,18.6,108,114,9.6,2018
Draymond Green,27,4,4,165,.593,.569,3.4,11.9,8.3,26.4,2.6,2.9,13.8,10.6,135,107,13.7,2018
JaVale McGee,30,4,3,55,.783,.800,9.6,8.9,9.2,0.0,0.0,7.3,4.7,18.6,144,110,7.1,2018
Shaun Livingston,32,4,0,65,.895,.867,2.2,14.8,9.6,14.3,0.8,0.0,5.6,13.2,174,111,7.5,2018
Jordan Bell,23,4,0,54,.691,.714,9.5,16.7,13.6,10.2,1.0,2.9,0.0,14.8,151,107,6.3,2018
Andre Iguodala,34,2,0,45,.738,.708,2.9,6.8,5.0,3.0,3.6,3.6,7.2,14.9,138,103,8.4,2018
Kevon Looney,21,4,1,39,.571,.714,14.1,5.1,8.9,2.6,1.4,0.0,0.0,11.0,132,118,2.3,2018
Zaza Pachulia,33,2,0,6,.709,.333,23.3,30.5,27.3,0.0,0.0,12.2,15.1,50.0,137,93,3.7,2018
David West,37,4,0,28,.700,.700,9.8,10.7,10.4,19.1,0.0,8.2,37.5,13.9,105,109,1.8,2018
Nick Young,32,4,0,38,.192,.192,0.0,5.0,2.9,0.0,0.0,0.0,0.0,16.3,40,117,-1.0,2018
Quinn Cook,24,2,0,4,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,69,121,0.2,2018
Patrick McCaw,22,4,0,11,1.136,,12.0,0.0,5.1,0.0,5.0,0.0,0.0,4.1,247,110,0.9,2018
Team Totals,28.5,4,,985,.623,.588,18.5,66.5,46.2,63.8,7.0,13.0,9.0,,124.6,108.5,,2018
